Dénomination actuelle;Fondateur(s) / Dirigeant(s) / Point de contact;Contact email;Site internet;Siège social (département);Nombre de salariés;Chiffre d'affaires;Nombre d'utilisateurs;Accompagnement / Incubation;En recherche financement;Cumul levée de fonds;Type d'innovation;Type de produits / services;Sport ciblé;Type d’utilisateurs;Clientèle cible;Résumé;Type de structure;Dernière levée de fonds;Année de création;Siège social (pays);Cas d'usage;Clients / Références;Statut de la solution;Catégorisation;Intégration / Compatibilité;Stade de développement;Niveau d'implantation marché français;Caractéristiques clés / proposition de valeur;Page Linkedin;Modèle économique;Awards
Mouv’NPlay;Christophe Lamulle;contact@mouvnplay.com;https://mouvnplay.com;Hauts-de-Seine (92);2–10;<1 M€;2 501–10 000;SportTech;Oui;0;Gamification, Application mobile;Application mobile et plateforme éducative (SaaS);Multisports (cible Jeunesse);B2B, B2C;Clubs, Écoles, Familles, Collectivités;Application qui favorise l’activité physique chez les jeunes (6-12 ans) en transformant les gestes sportifs quotidiens en jeu (défis, récompenses).;Start-up;;2023;France;Encourager l'activité physique ludique, suivi des progrès moteurs, animation pour éducateurs et parents.;Clubs de jeunes, Écoles, Centres de loisirs;Actif;Gaming / Fantasy / Esport, RSE & durabilité;Application mobile (iOS, Android), Plateforme web;Phase de commercialisation;National;Rendre le sport plus amusant et motivant pour les enfants grâce au jeu et à la technologie.;https://www.linkedin.com/company/mouvnplay;Abonnement (SaaS B2B), B2C Freemium;
Move Your Buddy;Guillaume Arnaud;contact@moveyourbuddy.com;https://moveyourbuddy.com;Paris (75);11–50;1–10 M€;>100 000;SportTech;Non;1 000 000 € ;Intelligence artificielle / Machine Learning, Gamification, RSE;Plateforme de bien-être en entreprise (SaaS);Tous sports, Sport-santé;B2B;Entreprises (PME/Grands Groupes), Salariés;Plateforme d’engagement sportif en entreprise basée sur des défis ludiques (IA) favorisant la cohésion, le bien-être et la QVT.;Start-up;1 M€ (2020 - Seed);2017;France;Amélioration de la QVT, organisation de défis inter-entreprises ou internes, coaching personnalisé par IA.;Grandes entreprises (Banque, Assurance, Services);Actif;RSE & durabilité, Gestion / Management, Fan Experience / Fan engagement;Plateforme web et mobile (SaaS), Intégration aux applications de suivi sportif;Établi;National;Le sport au service du bien-être et de la cohésion en entreprise grâce à l'IA et aux défis personnalisés.;https://www.linkedin.com/company/move-your-buddy;Abonnement (SaaS B2B);
Move’N See;François-Xavier Dumez (Fondateur et CEO);contact@movensee.com;https://shop.movensee.com/fr/;35 (Ille-et-Vilaine);01-oct;;;;Non;;Automatisation / Robotique, Intelligence artificielle / Machine Learning;Robots-caméra automatiques pour filmer le sport;Équitation, Sports de balle, Sports d'équipe;B2B, B2C;Sportif amateur, Staff technique;Move’N See conçoit et commercialise des robots-caméra et des logiciels de suivi automatique pour filmer des sportifs sans opérateur. Leur gamme la plus connue est PIXIO/PIXEM.;Start-up;;2010;France;Filmer automatiquement des entraînements et des compétitions sportives sans intervention humaine.;Fédérations, clubs sportifs, cavaliers;Actif;Athletes & performance, Médias / Streaming / OTT;Logiciel de suivi intégré (IA), Caméra;Établi;International;Robotisation de la captation vidéo, suivi précis du sujet, facilité d'utilisation.;https://www.linkedin.com/company/move'n-see/;Vente de matériel, Vente de logiciels;
Moveo;Alexandre Iacovella;contact@moveo.app;https://moveo.app;Rhône (69);2–10;<1 M€;2 501–10 000;SportTech;Oui;700 000 € ;Intelligence artificielle / Machine Learning, Application mobile;Application de coaching sportif (SaaS);Tous sports, Fitness, Course;B2C;Sportifs amateurs (Grand public);Application de coaching sportif personnalisée et évolutive via l'Intelligence Artificielle, adaptée au niveau de l'utilisateur.;Start-up;700 000 € (2023 - Seed);2020;France;Planification d'entraînement intelligente, adaptation dynamique du programme, suivi des objectifs de performance et de santé.;Sportifs amateurs;Actif;Athletes & performance, Data & analytics;Application mobile (iOS, Android);Phase de commercialisation;National;Coaching sportif 100% personnalisé grâce à l'IA, s'adaptant en temps réel aux progrès de l'utilisateur.;https://www.linkedin.com/company/moveo-app;Abonnement (SaaS B2C Freemium/Premium);
My Green Sport;;contact@mygreensport.com;https://www.mygreensport.com/;44 (Loire-Atlantique);01-oct;;;;Non;;Innovation environnementale, Innovation sociétale / Gouvernance Responsable;Plateforme de services RSE et de formation pour le sport;Multisport;B2B;Club professionnel, Club amateur / Association, Fédération, Organisateur événement / compétition, Entreprise;My Green Sport est une plateforme d'accompagnement et de formation en ligne dédiée à la Responsabilité Sociétale des Organisations (RSO/RSE) pour les acteurs du sport (clubs, fédérations, événements).;Start-up;;2021;France;Aide à la mise en place de stratégies de développement durable et de RSE dans le sport.;Clubs et événements sportifs;Actif;RSE & durabilité, Gestion / Management;Plateforme e-learning, outils de diagnostic RSE;Jeune entreprise;National;Expertise RSE spécifique au sport, outil de diagnostic de maturité, catalogue de formations en ligne.;https://www.linkedin.com/company/my-green-sport/;Abonnement (SaaS), Prestations de conseil et formation;
My Money Time;Kévin Roger;contact@mymoneytime.fr;https://mymoneytime.fr;Bouches-du-Rhône (13);2–10;<1 M€;>100 000;SportTech;Oui;1 000 000 € ;Gamification, Partenariat, Fan Experience;Application de récompense d'activité (SaaS/Marketplace);Tous sports;B2B, B2C;Marques/Partenaires, Utilisateurs;"Application qui récompense l’activité physique (pas, calories) par des ""Money Time"" échangeables contre des bons d'achat et offres partenaires.";Start-up;1 M€ (2022 - Seed);2019;France;Monétisation de l'activité physique, promotion de marques partenaires, motivation des utilisateurs à bouger.;Grandes marques (Distribution, Sport), Utilisateurs B2C;Actif;Partenariat / Sponsoring, Retail & merchandising, Fan Experience / Fan engagement;Application mobile (iOS, Android), Intégration aux objets connectés (Strava, Garmin);Établi;National;Transformer l'activité physique en pouvoir d'achat grâce à un système de récompenses partenaires.;https://www.linkedin.com/company/mymoneytime;Commissions sur les ventes partenaires (B2B), Publicité/Sponsoring;
My Sport Market;Florian Roulle (Fondateur);contact@my-sport-market.com;https://my-sport-market.com/;69 (Rhône);01-oct;;;;Non;;Marketplace;Plateforme de vente d'articles de sport d'occasion;Multisport;B2C;Sportif amateur;My Sport Market est une marketplace dédiée à l'achat et la vente d'articles et d'équipements sportifs d'occasion entre particuliers, favorisant l'économie circulaire dans le sport.;Marketplace;;2019;France;Achat/vente d'articles de sport de seconde main (équipement, vêtements).;;Actif;Marketplace, RSE & durabilité;Plateforme web et application mobile;Établi;National;Spécialisation dans le marché de l'occasion sportif, sécurisation des transactions, promotion du réemploi.;https://www.linkedin.com/company/my-sport-market/;Commission sur les ventes;
MyCoach;Cédric Messina;contact@mycoachapp.com;https://mycoach.fr;Alpes-Maritimes (06);51–250;1–10 M€;>100 000;SportTech;Non;6 000 000 € ;Intelligence artificielle / Machine Learning, Big Data, SaaS;Plateforme de gestion et coaching sportif (SaaS);Football, Handball, Rugby, Basket, Multisports;B2B2C;Fédérations sportives, Clubs, Collectivités, Entraîneurs;Leader français des solutions digitales de coaching, gestion et performance pour les fédérations et clubs (formation, suivi, communication).;Start-up;6 M€ (2018 - Série A);2011;France;Gestion des effectifs et des compétitions, planification des entraînements, formation des entraîneurs/arbitres.;Fédérations Françaises (FFR, FFH, FFF), Clubs professionnels et amateurs;Actif;Gestion / Management, Data & analytics, Athletes & performance;Plateforme web et Application mobile (SaaS), API d'intégration;Leader;International (Partenariats Fédéraux);Digitalisation complète de la gestion du sport, de l'élite à l'amateur, pour les fédérations et les clubs.;https://www.linkedin.com/company/mycoachapp;Abonnement (SaaS B2B), Contrats de licence (Fédérations);
MyFit Solutions;Rémy & Kevin Jacques;contact@myfit-solutions.com;https://myfit-solutions.com;Rhône (69);11–50;<1 M€;501–2 500;SportTech;Oui;1 400 000 € ;Scan 3D, Intelligence artificielle / Machine Learning;Solutions de prise de mesure 3D (Phygital/SaaS);Running, Cyclisme, Sport-santé (orthopédie);B2B2C;Marques de sport, Distributeurs, Professionnels de santé;Solutions de prise d'empreinte/mesure 3D du corps (pied, corps entier) pour la recommandation et la fabrication de produits personnalisés (semelles, chaussures).;Start-up;1,4 M€ (2023 - Seed);2020;France;Prise de mesure corporelle précise en magasin (Retail), personnalisation de l'équipement sportif, fabrication additive (impression 3D).;Marques de sport (Running), Magasins spécialisés (B2B);Actif;Retail & merchandising, Athletes & performance, Data & analytics;Scanner 3D (Hardware), Logiciel d'analyse (SaaS), API pour ERP/CRM;Phase de commercialisation;National;Révolutionner l'expérience client et l'ajustement des produits sportifs grâce à la mesure 3D et l'IA.;https://www.linkedin.com/company/myfit-solutions;Vente/Location des scanners 3D, Abonnement (SaaS B2B);
MyResaSport;Jean-Baptiste Hacala;contact@myresasport.com;https://myresasport.com;Loire (42);2–10;<1 M€;10 001–100 000;SportTech;Oui;300 000 € ;Plateforme web, SaaS;Plateforme de gestion et réservation (SaaS);Multisports (Tennis, Padel, Football 5x5, etc.);B2B2C;Clubs (Tennis, Padel), Collectivités, Gérants de complexes;Plateforme de gestion et de réservation d’installations et d’activités sportives pour les clubs et collectivités (terrains, cours, événements).;Start-up;300 000 € (2022 - Pré-seed);2020;France;Réservation en ligne des infrastructures, gestion des adhérents et des plannings de cours, paiement en ligne.;Clubs de Padel/Tennis, Complexes sportifs privés/publics;Actif;Gestion / Management, Venue Management / Gestion de salle / Operations, Billetterie / Ticketing / Hospitality;Plateforme web (SaaS), Widgets de réservation, Intégration aux systèmes d'accès;Établi;National;Simplifier la gestion et maximiser le remplissage des installations sportives grâce à la réservation en ligne.;https://www.linkedin.com/company/myresasport;Abonnement (SaaS B2B), Commission sur les réservations;
MySmartMove;David Immelé;contact@mysmartmove.com;https://mysmartmove.com;Bas-Rhin (67);2–10;<1 M€;0–100;SportTech;Oui;200 000 € ;Capteurs connectés, Intelligence artificielle / Machine Learning;Capteur portable et application (Produit physique/SaaS);Running, Marche, Activité physique;B2B;Entreprises (Santé au travail), Professionnels de santé;Capteur intelligent de suivi de mouvement et de performance pour une meilleure analyse de l'activité physique et la prévention des blessures.;Start-up;200 000 € (2023 - Pré-seed);2022;France;Suivi de l'activité physique, analyse de la marche et de la course, prévention des risques liés aux mauvaises postures (Santé au travail).;Entreprises, Kinés;Actif;Athletes & performance, Data & analytics, IoT / Wearables;Capteur connecté (Hardware), Application mobile et Plateforme (SaaS);Phase de lancement/Commercialisation;National;Capteur discret et intelligent pour analyser et améliorer les mouvements quotidiens et sportifs (approche Santé et Performance).;https://www.linkedin.com/company/mysmartmove;Vente du capteur, Abonnement (SaaS B2B);
Nataquashop;Patrick et Frédérique Peron (Fondateurs);service-client@nataquashop.com;https://www.nataquashop.com/;78 (Yvelines);nov-50;;;;Non;;;Vente en ligne d'équipements de natation;Natation;B2C;Sportif amateur, Club amateur / Association;Nataquashop est un site e-commerce spécialisé dans la vente d'équipements pour la natation (maillots, lunettes, matériel d'entraînement) destiné aux nageurs de tous niveaux et aux clubs.;Autre (E-commerce);;2006;France;Fourniture de matériel de natation de marques spécialisées.;;Actif;Retail & merchandising;Site e-commerce, partenariats marques;Très établi;National;Large gamme de produits spécialisés en natation, conseils d'experts, service aux clubs.;https://www.linkedin.com/company/nataquashop/;Vente de produits (E-commerce);
Natural Grass;Gilles Gallauziaux (Président);contact@naturalgrass.com;https://naturalgrass.com/;91 (Essonne);nov-50;;;;Non;;Technologique;Conception et construction de terrains de sport hybrides (gazon renforcé);Football, Rugby, Hippisme;B2B;Club professionnel, Collectivité;Natural Grass est spécialisée dans la création, la construction et la rénovation de terrains de sport en gazon naturel renforcé (technologie AirFibr, Desso Grassmaster, etc.), offrant une meilleure résistance et jouabilité.;PME / Intégrateur;;2008;France;Installation de surfaces de jeu durables et performantes pour les stades et les centres d'entraînement.;Stade de France, Allianz Riviera, clubs professionnels;Actif;Venue Management / Gestion de salle / Operations, Athletes & performance;Systèmes de gazon renforcé (AirFibr);Établi, expertise reconnue;International;Expertise dans le gazon hybride, technologies brevetées (AirFibr), résistance accrue des surfaces de jeu.;https://www.linkedin.com/company/natural-grass/;Prestations de services (construction/rénovation), Vente de technologie (licences);
Nauticspot;Thomas Gauvin (Co-fondateur et CEO), Paul-Emmanuel Monnet (Co-fondateur);contact@nauticspot.com;https://www.nauticspot.com/fr/;35 (Ille-et-Vilaine);01-oct;;;;Non;;IoT / Trackers / Wearables, Data / Analytics;Solutions IoT et logicielles de gestion pour les ports de plaisance;Sports nautiques, Plaisance;B2B;Collectivité, Fournisseur biens / services (gestion de ports);Nauticspot propose des solutions IoT et une plateforme logicielle pour digitaliser et optimiser la gestion technique et commerciale des ports de plaisance, incluant la gestion des places, des services et l'énergie.;Start-up;;2016;France;Digitalisation de la gestion des infrastructures maritimes et portuaires (gestion des places, suivi des consommations).;Ports de plaisance (ex: Port Chantereyne);Actif;Gestion / Management, RSE & durabilité;Plateforme SaaS, capteurs IoT;Développement;International;Optimisation des opérations portuaires, suivi en temps réel des infrastructures, gestion énergétique intelligente.;https://www.linkedin.com/company/nauticspot/;Abonnement (SaaS), Vente de capteurs/matériel;
NEXTRUN;Guillaume de Saint-Sernin (Co-fondateur), Guillaume Viala (Co-fondateur);contact@nextrun.fr;https://www.nextrun.fr/;31 (Haute-Garonne);01-oct;;;;Non;;Data / Analytics;Plateforme d'inscription en ligne pour les événements sportifs;Course à pied, Trail, Triathlon;B2B;Organisateur événement / compétition;NEXTRUN est une plateforme en ligne spécialisée dans l'inscription, la gestion des participants et la promotion des événements de running, trail et triathlon pour les organisateurs sportifs.;Start-up;;2017;France;Gestion des inscriptions en ligne pour les épreuves de course à pied et d'endurance.;Organisateurs d'événements sportifs (marathons, trails);Actif;Billetterie / Ticketing / Hospitality, Gestion / Management;Plateforme web, outils de marketing et de gestion;Établi;National;Solution clé en main pour les organisateurs, outils de communication intégrés, gestion des données de participants.;https://www.linkedin.com/company/nextrun/;Commission sur les inscriptions;
Nolio;Romain Adam, Thomas Thibaud;contact@nolio.io;https://nolio.io;Isère (38);2–10;<1 M€;>100 000;SportTech;Oui;1 000 000 € ;Intelligence artificielle / Machine Learning, SaaS;Plateforme de planification d'entraînement (SaaS);Running, Triathlon, Vélo, Natation, Trail;B2B, B2C;Entraîneurs, Athlètes amateurs et professionnels, Clubs;Plateforme de planification, d'analyse et de communication entre entraîneurs et athlètes, centralisant toutes les données d'entraînement.;Start-up;1 M€ (2022 - Seed);2018;France;Planification d'entraînement à distance, analyse des données de performance (puissance, fréquence cardiaque), communication coach-athlète.;Entraîneurs indépendants, Clubs (Triathlon, Course), Athlètes;Actif;Athletes & performance, Data & analytics, Gestion / Management;Plateforme web et mobile (SaaS), Intégration avec les montres/capteurs (Garmin, Strava, etc.);Établi;International;L'outil tout-en-un pour coacher et suivre la progression des athlètes avec une précision et une simplicité maximales.;https://www.linkedin.com/company/nolio;Abonnement (SaaS B2B - Coachs), Abonnement (SaaS B2C - Athlètes);
Nove Perform;Nicolas Fons (Fondateur);contact@noveperform.com;https://www.noveperform.com/;63 (Puy-de-Dôme);01-oct;;;;Non;;Data / Analytics, Intelligence artificielle / Machine Learning;Outil d'analyse vidéo et de reporting pour l'entraînement;Football, Rugby;B2B;Staff technique, Sportif professionnel, Club professionnel;Nove Perform propose un outil intelligent d'analyse vidéo et de data pour optimiser l'entraînement et la performance des équipes sportives, notamment dans le football et le rugby, grâce à l'IA.;Start-up;;2023;France;Analyse tactique et statistique des performances d'équipe via vidéo et IA.;Clubs et centres de formation (Football, Rugby);Actif;Athletes & performance, Data & analytics;Logiciel SaaS, intégration de données vidéo et statistiques;Jeune entreprise (phase de croissance);National;Analyse objective et quantitative des actions de jeu, aide à la décision pour le staff technique, moteur d'IA spécifique.;https://www.linkedin.com/company/noveperform/;Abonnement (SaaS);
Novo Esports;Emanuele ACERBIS, Francesco ALACCA;info@novoesports.gg;novoesports.gg/;Milan, Lombardia;01-oct;;;;Non;110 000 € ;Gaming / Fantasy / Esport;Organisation et équipe d'Esports italienne (compétitions, divertissement, création d'écosystème).;Esport (League of Legends, VALORANT, Rocket League, EA Sports FC, etc.);B2B, B2C;Fan / Supporter, Média, Sponsor / Mécène;Novo Esports vise à devenir le leader italien dans le monde de l'Esports et à offrir une expérience de divertissement aux joueurs et aux spectateurs. L'organisation promeut l'Esports à 360 degrés, en mettant l'accent sur l'innovation, la création d'un véritable écosystème et d'une communauté passionnée et engageante.;Start-up;110 000 € ;2023;Italie;Compétitions d'Esports, création de contenu, partenariats, engagement communautaire.;;Actif;Gaming / Fantasy / Esport, Médias / Streaming / OTT, Partenariat / Sponsoring;Équipes Esport, Production de contenu;Jeune entreprise;Faible;Organisation Esport italienne créant un écosystème et offrant du divertissement aux fans et aux joueurs.;https://www.linkedin.com/company/novo-esports-organization/;Sponsoring, prix des tournois, merchandising, droits médias;
Obiz;Antoine Le Conte (Président);contact@obiz.fr;https://obiz-concept.fr/;69 (Rhône);101-250;;;;Oui;10,3 M€;;Plateforme de services et avantages (loisirs, sport, bien-être);Multisport;B2B;Entreprise, Ayant Droit;Obiz est un groupe spécialisé dans les solutions d'engagement, de fidélisation et d'animation de communautés pour les grandes entreprises et les acteurs du sport, en proposant des avantages (dont des offres sportives).;Agence (et Groupe côté);;2007;France;Fourniture d'avantages et services personnalisés (loisirs, sport, santé) aux communautés de clients ou d'employés de ses partenaires.;BNP Paribas, Orange, Mutuelles, Fédérations sportives;Actif;Gestion / Management, Partenariat / Sponsoring;Plateforme web et mobile B2B2C, API;Très établi (Coté en bourse);International;Solutions de marketing relationnel B2B2C, réseau étendu de partenaires (dont sportifs), cotation en bourse (Obiz SA).;https://www.linkedin.com/company/obiz/;Abonnement B2B, Partenariat;Cote en bourse (Euronext Growth)
Odiho;François Devaux;contact@odiho.com;https://odiho.com;Yvelines (78);11–50;<1 M€;2 501–10 000;SportTech;Oui;0;Audio streaming sans fil, Fan Experience;Système de diffusion audio par casque (Produit physique);Stade, Événementiel (Multisports);B2B;Clubs, Organisateurs d'événements, Salles de sport;Solution de sonorisation innovante permettant la diffusion audio (commentaires, musique) par casque sans fil et sans interférence, notamment dans les stades et salles de sport.;Start-up;;2019;France;Amélioration de l'expérience fan (écoute des commentaires, interviews), Silent Disco dans les enceintes sportives, sonorisation multilingue.;Clubs sportifs (Football, Rugby), Organisateurs d'événements;Actif;Fan Experience / Fan engagement, Venue Management / Gestion de salle / Operations;Émetteurs (Hardware), Casques (Hardware), Application mobile;Phase de commercialisation;National;Offrir une expérience audio personnalisée et de haute qualité dans des environnements bruyants comme les stades.;https://www.linkedin.com/company/odiho;Vente/Location de l'équipement (Hardware B2B), Prestation de services;
Okoo Sports;Thomas Joly;contact@okoo-sports.com;https://okoo-sports.com;Rhône (69);2–10;<1 M€;501–2 500;SportTech;Oui;300 000 € ;Application mobile, Intelligence artificielle / Machine Learning;Application de gestion d'équipe et d'interaction (SaaS);Tous sports, Clubs de jeunes;B2B2C;Clubs, Éducateurs, Parents, Joueurs;Application de gestion d’équipe pour les éducateurs et de suivi des joueurs (communication, planning, données) pour les clubs de sport amateur.;Start-up;300 000 € (2023 - Pré-seed);2022;France;Communication simplifiée club/familles, gestion des plannings et des présences, suivi du développement des jeunes joueurs.;Clubs de sport amateur (multi-sports);Actif;Gestion / Management, Data & analytics, Fan Experience / Fan engagement;Application mobile (iOS, Android), Plateforme web (SaaS);Phase de commercialisation;National;Digitaliser la communication et l'organisation des clubs amateurs, du dirigeant au parent.;https://www.linkedin.com/company/okoo-sports;Abonnement (SaaS B2B);
OLYBE;;contact@olybe.com;https://www.olybe.com/;75 (Paris);01-oct;;;;Non;;Innovation sociale / Inclusion;Plateforme de réservation de cours de yoga et de bien-être en entreprise et en ligne;Yoga, Bien-être;B2B, B2C;Entreprise, Sportif amateur;OLYBE est une plateforme qui propose des cours de yoga et de bien-être (en présentiel, en entreprise ou en visio), visant à démocratiser l'accès à ces pratiques pour la santé physique et mentale.;Start-up;;2018;France;Organisation de cours de yoga et méditation, en studio ou pour des événements d'entreprise.;Particuliers, entreprises;Actif;Innovation sociale / Inclusion, Gestion / Management;Plateforme web de réservation;Établi;National;Large choix de cours et de professeurs, offre B2B (sport en entreprise), flexibilité (présentiel/distanciel).;https://www.linkedin.com/company/olybe/;Abonnement (B2C), Prestations de services (B2B);
OnTracks;Philippe Lorenzo;contact@ontracks.co;https://ontracks.co;Bouches-du-Rhône (13);2–10;<1 M€;>10 000;SportTech;Oui;1 000 000 € ;Capteurs connectés, GPS, Guidage haptique;Bracelet de guidage (Produit physique + App);Running, Trail, Vélo, Randonnée;B2C;Sportifs amateurs (Outdoor);Système de navigation GPS pour sportifs basé sur des bracelets connectés qui indiquent la direction par vibrations haptiques, sans écran.;Start-up;1 M€ (2020 - Seed);2018;France;Guidage sans contact visuel, suivi de parcours, sécurité en extérieur.;Coureurs, Traileurs, Fédérations, Magasins spécialisés;Actif;Athletes & performance, IoT / Wearables, Sécurité & sûreté;Application mobile (iOS/Android), Bracelet connecté, Compatibilité Strava/Garmin;Phase de commercialisation;National/Européen;Le guidage GPS discret par vibrations, pour une expérience sportive immersive et sécurisée.;https://www.linkedin.com/company/ontracks;Vente du produit physique, Abonnement (Premium App);
Orange Marine;Frédéric Lapeyre (Fondateur et CEO);contact@orange-marine.com;https://www.orange-marine.com/;13 (Bouches-du-Rhône);nov-50;;;;Non;;;Vente en ligne d'équipements et accessoires pour le nautisme;Nautisme, Voile, Plaisance;B2C;Sportif amateur, Fournisseur biens / services;Orange Marine est un site de vente en ligne spécialisé dans l'équipement de bateaux, la sécurité en mer et les sports nautiques, s'adressant aux professionnels et aux plaisanciers.;Autre (E-commerce);;2009;France;Distribution et vente d'équipements pour la navigation et les activités nautiques.;;Actif;Retail & merchandising;Site e-commerce;Très établi;International;Large catalogue de produits nautiques, prix compétitifs, livraison rapide, expertise dans le domaine maritime.;https://www.linkedin.com/company/orange-marine/;Vente de produits (E-commerce);
OUICSPORT;Pauline Lalanne, Olivier Rameau (Co-fondateurs);contact@ouicsport.fr;https://www.ouicsport.fr/;33 (Gironde);01-oct;;;Village by CA;Non;;Gestion / Management;Plateforme SaaS de gestion d'adhésions et de clubs sportifs;Multisport (Clubs, Associations);B2B;Club amateur / Association, Fédération;OUICSPORT est une solution numérique tout-en-un pour la gestion administrative, sportive et financière des clubs et associations sportives.;Start-up;;2021;France;Simplification de la gestion des inscriptions, cotisations, plannings, et communication pour les clubs.;Clubs amateurs, Ligues;Actif;Gestion / Management;Solution SaaS intégrée (gestion, paiement, communication);Jeune entreprise;National;Solution complète et intuitive pour le quotidien des dirigeants de clubs, focalisée sur la simplification administrative.;https://www.linkedin.com/company/ouicsport/;Abonnement (SaaS);
Oxsitis;Emmanuel Vidal;contact@oxsitis.com;https://oxsitis.com;Puy-de-Dôme (63);11–50;1–10 M€;>100 000;SportTech;Non;0;Ergonomie, Textile technique, Hydratation, Écologique;Équipements (Sacs, Vêtements), Nutrition (Produit physique);Trail, Running, Triathlon, Randonnée;B2B2C;Sportifs d'endurance, Magasins spécialisés;Marque française spécialisée dans les équipements d'hydratation (sacs, ceintures) et la nutrition pour les sports d'endurance, en privilégiant l'écologie.;PME;;2010;France;Portage de l'hydratation et du matériel en course, nutrition énergétique (gels, barres) pour l'effort long.;UTMB (partenaire historique), Événements de Trail, Magasins de sport (Retail);Actif;Athletes & performance, Retail & merchandising, RSE & durabilité;;Établi;International;Des produits techniques et ergonomiques, conçus par des sportifs, avec une forte conscience environnementale (made in France/Europe).;https://www.linkedin.com/company/oxsitis;Vente directe (E-commerce), Vente aux détaillants (B2B);
Oze-Energies;Marc Lebrun;contact@oze-energies.com;https://oze-energies.com;Rhône (69);11–50;1–10 M€;0–100;SportTech;Non;2 000 000 € ;IoT (Capteurs), Intelligence artificielle / Machine Learning, Efficacité énergétique;Logiciel d'optimisation énergétique (SaaS);Infrastructures sportives (Stades, Gymnases, Piscines);B2B;Collectivités, Gestionnaires de bâtiments, Stades, Complexes sportifs;Optimisation énergétique des bâtiments sportifs et tertiaires grâce à une solution d'Intelligence Artificielle et de capteurs communicants (Optimzen®).;PME;2 M€ (2022 - Série A);2016;France;Réduction des consommations d'énergie (jusqu'à 25%), amélioration du confort des occupants, pilotage intelligent des équipements (CVC).;Collectivités, Gestionnaires de parcs immobiliers tertiaires;Actif;RSE & durabilité, Gestion / Management, Venue Management / Gestion de salle / Operations;Capteurs propriétaires, Plateforme SaaS Optimzen®;Établi;National;Solution clé en main pour réduire significativement les dépenses énergétiques sans travaux lourds (optimisation par IA).;https://www.linkedin.com/company/oze-energies;Abonnement (SaaS B2B), Prestation de services (Installation/Audit);
Padmi;;;www.padmi.es;Madrid, Madrid;01-oct;;;;Non;N/A (pas de levée significative);Gestion / Management;Logiciel de gestion pour les clubs, écoles et centres sportifs, avec modules d'inscription, réservation, etc.;Multisport (Gestion);B2B;Club amateur / Association, Fournisseur biens / services (dont salles);Logiciel de gestion et de marketing pour les clubs sportifs, écoles et centres d'activités (réservation, paiement, communication).;Start-up;N/A (541 €/$) ;2021;Espagne;Digitalisation et gestion des opérations quotidiennes des centres et clubs sportifs.;Centres sportifs, écoles de padel/tennis, clubs de fitness;Actif;Gestion / Management;Logiciel en ligne (SaaS) avec modules intégrés;Établi;Faible;Simplification de la gestion des clubs et centres sportifs (réservations, clients, paiements).;https://www.linkedin.com/company/padmi/;Abonnement (SaaS B2B);
Parkours;Hugo Vasset;contact@parkours.fr;https://parkours.fr;Paris (75);2–10;<1 M€;2 501–10 000;SportTech;Oui;500 000 € ;Réalité Augmentée, Géolocalisation, Gamification;Application mobile (SaaS);Multisports (Running, Vélo, Marche, etc.), Sport Urbain;B2C;Sportifs amateurs (Urbains), Communes, Marques;Application de sport urbain qui permet aux utilisateurs d'explorer leur ville à travers des parcours sportifs gamifiés et en Réalité Augmentée.;Start-up;500 000 € (2023 - Seed);2021;France;Création de parcours sportifs thématiques (culturel, historique), défis en réalité augmentée, événements sportifs connectés.;Utilisateurs B2C, Villes et Collectivités (partenariats);Actif;Fan Experience / Fan engagement, Gaming / Fantasy / Esport, RSE & durabilité;Application mobile (iOS, Android), Utilisation de la géolocalisation et de la caméra (AR);Phase de commercialisation;National;Rendre la ville plus sportive et l'exercice plus ludique grâce à la Réalité Augmentée et à la gamification.;https://www.linkedin.com/company/parkours-app;Abonnement (B2C Premium), Partenariats B2B (Marques, Villes);
Partnership Net;N/A (Fondateur : Ralf KLEMM);support@partnership-net.com;www.partnership-net.com;Georgensgmünd, Bayern;01-oct;;;;Non;;Data / Analytics, Gestion / Management;Plateforme logicielle (SaaS) pour la gestion et l'analyse des partenariats et du sponsoring.;Multisport (Axé sur le sponsoring sportif);B2B;Sponsor / Mécène, Club professionnel, Organisateur événement / compétition;Partnership Net fournit une plateforme logicielle pour la gestion des partenariats commerciaux et du sponsoring. Le système centralise les profils des partenaires, les accords, les inventaires de droits, les livrables, et les calendriers d'activation. Des analyses intégrées mesurent la performance des campagnes et des actifs.;Start-up;;2020;Allemagne;Gestion complète des contrats de sponsoring, suivi des livrables, évaluation du ROI pour les équipes sportives et les sponsors.;Clubs sportifs (football, etc.), Agences, Entreprises;Actif;Partenariat / Sponsoring, Gestion / Management, Data & analytics;Plateforme SaaS, intégrations avec CRM et outils de données.;Établi;Faible;Logiciel SaaS spécialisé dans la gestion de partenariats et de sponsoring, offrant une visibilité complète sur les obligations, le ROI et la performance des actifs.;https://www.linkedin.com/company/partnership-net/;Abonnement (SaaS B2B);
Pescavel;;;https://www.pescavel.com/;;;;;;;;;;;;;Le site est très générique ou redirige vers un contenu non spécifique au sport/sport tech. Information non trouvée.;;;;;;;Inactif (ou lien non pertinent);;;;;;;;
